id	Token	POS	Semantic Tags
1767	شادی	JJ	A2.1+
1768	خصوصیت	VVN	S4 A2.2
1769	ادائیگی	VV0	A10+
1770	نمائش	NN1	I1.1
1771	توقع	NN1	A10+/S1.1.3+ A10+ I1%
1772	اسمبلی	JJ	S6+ X7+
1773	اصلاحات	NN1	S5+c A9+ A1.1.1
1774	خالی	VV0	A2.1+
1775	کشتی	VV0	N5--- M1/M4
1776	سامنا کرنا پڑا	VV0	M4
1777	بس	VVN	E4.1- B2- X3 A5.1-/A2.1 S7.4+
1778	جہنم	VV0	M3
1779	یاد	UH	Z4
1780	ڈرائیور	VVN	X2.2+
1781	دوپہر کے کھانے کے	NN1	M3/S2mf O2
1782	پھول	VV0	F1
1783	گرمی	NN2	L3
1784	اوپری	VV0	O4.6+
1785	حجم	NN1	M6 F3@
1786	حصہ	NN1	N3.4 N5 Q4.1 Q4.2 X3.2
1787	کپتان	VV0	S1.1.2+
1788	قتل	VV0	S7.1+
1789	نمائندگی	VV0	L1-
1790	شراکت	JJ	Q1.1 A6.2+ S1.1.3 A5.4- K4
1791	منشیات	NN1	A9- A2.2 S1.1.3+
1792	مر	VVZ	F3/G2.2-
1793	باہر	VV0	L1- T2-
1794	روان	RL	M6 S5-
1795	فنون لطیفہ	NP1	Z1m
1796	ٹانگ	NN2	C1 P1 X9.1+
1797	خدمت	VV0	M1/N3.8+
1798	نمٹنے	VVI	S8+ S7.1- I2.2 A9- F1 A1.1.1 I3.1 K5.1 G2.1
1799	لکھنا	NN1	A1.1.1 I2.2 I2.1 A9- K5.2 F3/I2.2
1800	نصاب	NN1	Q1.2 I2.1
1801	بیگ	NN1	P1
1802	کوشش	VV0	A9+ K5.1
1803	ظاہر	VVN	X2.4
1804	شاخ	JJ	A8 A11.2+
1805	شروع	VV0	N5+ A2.1+
1806	محسوس	NN1	T2+
1807	مارٹن	VVN	X3.4+ A11.2+ Q2.2 X2.2+ S1.2.4+ G2.1
1808	داخل	NP1	Z1mf
1809	انسٹی ٹیوٹ	VV0	M1 S5+ Q1.2 T2+ A1.8+ Y2
1810	قائم	VV0	T2+
1811	آبجیکٹ	VVD	T2+ X6+
1812	موقع	VV0	A6.1- E2-
1813	فضلہ	VV0	A2.2
1814	حقائق	VV0	N5.2+ X9.2- N3.2-/A2.1
1815	رکنیت	NN2	A5.2+ X2.2
1816	ہلا	NN	S5+c P1
1817	پیر	VVD	M2 M1 E4.1- E5- A2.1+ A6.1+
1818	دعوے	NPD1	T1.3
1819	کنٹرول	NN2	Q2.2 A9+ G2.1
1820	تیار	VV0	S7.1+ A1.7+
1821	چھوٹے	VVD	A1.1.1 F1
1822	ایمان	JJR	T3--
1823	دکانیں	NN1	E6+ S9 X2.1
1824	چیلنج	VVZ	I2.2 G2.1@
1825	جواب	VV0	A6.1- S7.3+ Q2.2
1826	روسی	VV0	Q2.2 S1.1.1
1827	اخلاقی	NN1	Z2/S2mf
1828	خوشی	NN1	X4.1
1829	ایلن	NN1	E4.2+ K1
1830	سر	NP1	Z1m
1831	خونی	VVZ	S7.1+ K5.1 M1 N5 A2.1+ A11.1+ Q1.2 T1.1.3
1832	ہوشیار	RG	A13.3
1833	بھرے	JJ	A1.3+ E6-
1834	کارپوریشن	JJ	N5.1+
1835	ادب	NN1	I2.1
1836	پیدائش	NN1	Q4.1 Q1.2
1837	قیادت	NN1	B1 T2+
1838	ضابطہ	NN1	S7.1+ A2.2 M2 A1.1.1
1839	توڑ دیا	VV0	A10-/Q1.1 A4.1 Y2@ B1%
1840	تیار	VVN	A1.1.2 A1.1.1 A1.9 S5- T2- E4.1-/A2.2 A2.1+ T1.3 Q2.1@
1841	وہ	VVD	A1.1.1 F1
1842	پروفیسر	RG	A13.3 A6.1+
1843	اے	NN1	P1/S2mf
1844	لکڑی	UH	Z4
1845	شریف آدمی	NN1	O1.1 W3/L3
1846	پرواز	NN1	S2.2m
1847	اندراج	NN1	M5 M1 H2
1848	خوبصورت	NN1	M7 Q1.2 S7.3 M1 T2+
1849	کشش	RG	A13.5
1850	جنگلی	JJ	O4.2+ S3.2
1851	تحقیقات	RR	E3- X5.2+ A1.7-
1852	تاج	NN1	X2.4 B3
1853	حفاظت	VV0	S7.1+ M6 B3 X9.2+
1854	اثبات میں حرکت دی	VV0	S8+/A15+ A10-
1855	سب سے بڑا	VVD	M1
1856	حوصلہ افزائی	JJT	A5.1+++ A11.1+++ N3.2+++ N5+++ X5.2+++
1857	عقیدہ	VV0	S8+
1858	دیکھ بھال	NN1	X2.1 S9%
1859	تفصیل	VV0	E6- E2+ S8+ B3 X7+
1860	روایت	NN1	Q2.2 A4.1
1861	جاپانی	NN1	S1.1.1 T1.1.1 A6.2+
1862	پتلا	NN	Z2/S2mfnc
1863	اپنایا	VV0	N5-/A2.1 O4.1/A2.1
1864	اہم	JJ	A9+ S4
1865	دستاویز	JJ	A11.1+ X5.2+
1866	اختتام	VV0	Q1.2 X2.2+ A5.2+
1867	اٹلی	NN1	X6+ T2-
1868	انجینئرنگ	NP1	Z2
1869	کوئلہ	NN1	Y1 S7.1+ A1.1.1
1870	منتقلی	NN1	O1.1
1871	پتا	VV0	M6/A2.1+ A9- I3.1/A2.1+ Y2 M3 M4 M5
1872	سانس	VV0	Q1.2 Q2.2 A1.1.1
1873	لمیٹڈ	NN1	B1 N5-@
1874	متبادل	JJ	I2.1
1875	کل	NN1	A6.1-
1876	منصوبوں	VV0	N5
1877	نقل	NN2	X7+ X4.2
1878	خواہش	VV0	A5.4-
1879	تلاش	VV0	X7+ S3.2
1880	مؤثر طریقے سے	VVI	X2.4
1881	تنظیموں	RR	A5.4+ X9.2+
1882	دھکیل دیا	NN2	S5+c S7.1+
1883	دورے	JB	M2 A12- N5-
1884	وغیرہ	VV0	S1.1.1 M1
1885	منصوبہ بندی	RA	Z4
1886	کسانوں	NN1	X7+
1887	قدیم	NN2	F4/S2mf
1888	جاری	NN1	T3++
1889	افتتاحی	JJ	A1.7- A9-
1890	ہونٹ	VVG	A1.1.1 T2+
1891	معاہدے	NN2	B1 O2
1892	اخبار	NN1	G3 G1.1 G2.1
1893	مقصد	NN1	Q4.2
1894	منشیات	VV0	X7+ M6
1895	شناخت	VV0	B3
1896	انجن	VV0	X2.2+ A10+ X2.5+
1897	مانچسٹر	NN1	O2 Y2@
1898	امریکا	NP1	Z2 Z3c
1899	مالک	NP1	Z2
1900	آسمان	NN1	A9+/S2mf
1901	ٹونی	NN1	W1
1902	پہننے	NP1	Z1mf
1903	بزرگ	NN1	B5 A1.1.1 B2- S7.4+
1904	وزارت	RR	T3+
1905	آسٹریلیا	NN1	G1.1c S9
1906	مصروف	NP1	Z2
1907	اندر	VV0	A1.1.1 X5.1+
1908	کسی	RL	M6 G2.1@
1909	پڑھنے	PN1	Z8mfc
1910	بیرونی	VVG	Q3 Q1.2 X3.2+ X2.5+ P1 A10+
1911	قابل	JJ	M6 G1.1/M7
1912	مارکیٹنگ	JJ	X9.1+
1913	سڑکوں	VVG	I2.2
1914	ساتھی	NN2	M3/H3
1915	احترام	VV0	S3.1
1916	شاٹ	VV0	S7.2+
1917	ادارہ	VVN	G3 K5.1 M1 M2 Q4.3 A1.1.2 Q1.2 S1.2.6-%
1918	نسل	NN1	S5+c S7.1+ H1c S1.1.1 T2+
1919	تیزاب	NN1	T1.3 S5+c
1920	احساس	NN1	O1 K2 F3%
1921	منتخب	JJ	X2.5+ X9.2+
1922	وسیع	VVN	X7+
1923	تنگ	RRR	N3.7++ A4.2--
1924	وسیع	VV0	N3.7- N5-
1925	کا حکم دیا	NN1	S2.1f W3
1926	حیرت انگیز	VVN	S7.1+/Q2.2 I2.2/Q2.2
1927	اہم	JJ	A5.1+
1928	موجود	VV0	A1.1.1
1929	لانے	VVN	A1.8+ A1.7+
1930	گاہک	NN1	M2 A2.2
1931	عام	NN2	I2.2/S2mf
1932	پینے	JJ	A4.2+ A6.2+
1933	اسٹیفن	VV0	F2/B1
1934	ملازمت	NP1	Z1m
1935	ماحول	VVN	I3.1 A1.5.1
1936	سست	NN1	W3 W1 E1 N3.5
1937	حیران	VV0	N3.8-
1938	صاف	VVN	X2.1
1939	پورے	VV0	B4
1940	فوج	JJ	N5.1+
1941	لیڈز	NN2	G3/S5+ G3/S2mf S5+
1942	ووٹ	NP1	Z2 Z3c
1943	تعریف	VV0	G1.2
1944	فلاح و بہبود	NN1	Q2.2 O4.1
1945	کمی	NN1	S8+ I1 G1.1c
1946	صف	NN1	N5-/A2.1 Y1@
1947	چلنے	VV0	E3- M4
1948	قوانین	NN1	M1 L2 X9.2+/A12+
1949	زائرین	NN2	G2.1 S6+
1950	رہائی	NN2	S1.1.1/S2mf M1/S2mf
1951	دریں اثنا	VV0	A1.7- A9-
1952	 پختہ	RR	T1.1.2
1953	امتحان	JJ	A7+ S9@
1954	دروازے	NN1	P1 X2.4 B3
1955	قیادت	NN2	H2
1956	چالو	NN1	S7.1+
1957	نیچے	VV0	S8+
1958	سفر	RL	M6
1959	دودھ	VV0	M1
1960	بیان 	VV0	F4 A9+
1961	اسی لیے	JB	Q2.1
1962	آئی بی ایم	RR	A2.2
1963	متاثر	NP1	Z3c
1964	سرمئی	VV0	A2.1+ A5.4-/A8
1965	پردہ	VV0	O4.3
1966	تنقید	VV0	A10- Q4.3 X2.4 B3
1967	تعجب کی بات	NN1	Q2.2/E2- X2.4
1968	پڑھائی	VV0	X2.6-
1969	کہانیاں	VVG	Q3 Q1.2 X3.2+ X2.5+ P1 A10+
1970	ارب	NN2	Q2.1 X4.1
1971	مسلسل	NNO	N1 I1
1972	دانت	NN1	A2.1- N2
1973	دماغ	NN2	B1 O2
1974	وضاحت	VV0	E3-
1975	مختصر	NN1	Q2.2/A7+ A2.2
1976	نشانیاں	VV0	Q2.1
1977	شادی	VVZ	Q1.2 Q1.1 G2.1 I3.1 S9
1978	سب سے زیادہ	VVN	S4 A2.2
1979	کا احاطہ	RRT	N3.7+++ N5+++
1980	شروع	VV0	A10- M1 N3.6 S8+ I1.1 A1.8+ N5 Q2.1 A1.1.1
1981	جاننے	NN1	T2+ E5- E3-
1982	دعوی	NN1	X2.2+ S3.2/B1%
1983	تخلیق	VV0	Q2.2 A9+
1984	قلعہ	NN1	A1.1.1 A2.2
1985	حکومتوں	NNL1	H1
1986	نیت	NN2	G1.1c
1987	بھارت	NN1	X7+ O4.1%
1988	وسیع	NP1	Z2
1989	ہموار	JJ	N3.2+ N5+
1990	رہنمائی	RR	O4.4 N5- A6.1+ K2
1991	 چلا نا	VV0	S8+
1992	حیران	VV0	M3 A1.1.1 X5.2+ M2 S7.1+
1993	مسیح	VVN	X2.6-
1994	آسان	NP1	Z1m Z4
1995	مثالی	RRR	A12++
1996	بند	NN1	X4.1 A5.1+++
1997	قارئین	VVN	A10-
1998	بھاگنا	NN2	Q4.1/S2mf Q4.2/S2mf P1/S2mf Q4.1
1999	میگزین	VVN	M1/N3.8+ G1.2 G2.1- X3.3 S7.1+ A1.1.1 T2++ M3 S4 A6.3+ K4
2000	اس	NN1	Q4.2 Q4.3 G3 O2
