lemma	semantic_tags
برُوناي	 Z2 
مُتَبارِي	 S1.1.3+mfn S7.3+/S2mf 
بَرِيَّة	 A1.1.1 A2.2 L2 S9 S2@mf 
برِيدراغ	Z99
برِيجِيت	 Z1f 
برِيجاديِر	 G3/S7.1+/S2mf 
برِيتُورِيا	 Z2 
برُولِيتارِيّ	 G1.2 S7.1-/S2mf G1.2/I1.1- 
برُولِيتارِيا	 S5+c 
بُرُوجِيّ	 K2/S2mf 
بَرْواز	 O2 G2.1/A5.2- K5.1@ A1.1.1 X6+ Q2.1 
برُوجرام	 Y2 X7+ Q4.3 Q1.2 P1 
برُوج	 Z2 
برُوتُوكُولِيّ	 G2.1 Y2 Q1.2/G1.1 X4.2 
برُوس	 Z1mf 
برُوسْتات	 B1 
برُوكس	Z99
برُوفِيل	Z99
برُوشِيه	 Q4.1 Q1.2 
برُوسِيا	Z99
برِيزْبان	 Z2 
بِرِيسْترُويكا	 G1.2 
بَزِيخ	Z99
بَزَر-ِ	 L2fn F4 A2.2 F1 X5.2+ 
بَزْبُوز	 O2 A1.1.1 Q2.1 
ٱِبْتِزازِيّ	 A9+/G2.1- G2.1- 
بَزّازَة	 T3--/S2mf E2+mfn NN1 T3--/Q2.1 T3-- 
بَزَّر	 L2fn F4 A2.2 F1 X5.2+ 
بِزْر	 L3 T2+ K5.1/S2mf F4 K5.1 K5.1/S2 B2- F1 X5.2+ 
بَزَق-ُ	 B1 O2 W3 W4 X3.2 
بازِغ	 M1 N5+/A2.1 N3.2+/A2.1 S7.1+/A2.1 N3.7+/A2.1 A8 A10+ A3+ G2.1 K4 Q4 
بُزَيْرَة	Z99
بَزّار	Z99
بَزّاز	 B5/S2mf 
بِزازَة	Z99
برِيمِن	Z99
برِينت	Z99
برِيغ	Z99
برِيشِيا	 Z2 
برِيسْلِي	 Z1mf 
بَزّ-ُ	 G2.1-/A9+ A9+ X9.2- X9.2+/G3 X9.2+/S7.3 A12- 
بَزّ-َ	 L3 O2 S3.1% N3.8+/N3.2+ 
بَزَّة	 B5 B5/A5.1+ F1 B3 O4.1 
بُزُوز	 O1.1 H5 B5 O2 S9/S5+ 
بَزّ	 O1.1 H5 B5 O2 S9/S5+ G2.1-/A9+ 
ٱِبْتَزّ	 A9+/G2.1- A9+/G2.2- 
بَسْم	 E4.1+ 
بَسِيم	Z99
أَبْضَع	 I1.1 
تَبَضَّع	Z99
باضَع	Z99
بَضَّع	 A1.1.1 
بَضَع-َ	 A1.1.1 B3 
ٱِسْتَبْضَع	 I2.2 I2.1 I3.1 I2.2/N5 
بَضْع	 B3 
مُسْتَبْضِع	 S7.1+/S2mf K1/S7.1+/S2mf K5/S7.1+/S2mf 
مُبْضِع	Z99
إِبْضاع	 S5+c S4 S3.2 I1.1 
بُضُوع	 B3 
بَضِيض	 K2 A1.1.1 Q4.3 A2.1+ 
بُضُوض	 K2 A1.1.1 Q4.3 A2.1+ 
باصِرَة	 B1 X3.4 
بِصارَة	 F1 G2.1@ 
باصِر	Z99
ٱِسْتِبْصار	 X2.5+ Y1/X1 
إِبْصارِيّ	 X3.4 
بَصْق	 B1 O2 W3 W4 X3.2 
مِبْصَقَة	Z99
بَضّ-ِ	 K2 I1.3@ A1.1.1 Q4.3 A2.1+ 
بَصَم-ُ	 Q4.1 O4.4 Q1.2 O2 A1.1.1 I1.2/G1.1 A4.2+ A10+ A2.2 
بُصَيْلَة	 O3 L3 O2 
بَصَلِيّ	 O4.2- O4.4 F1 
مَبْضُوع	 A1.1.1 B3 JJ@ A1.1.2 
تَبَضُّع	 I2.2 G2.1@ I2.2/O2 
بَطِيحَة	 O4.1 A11.2+ A12+ A13.3 A6.2+ W3 
مُنْبَطِح	 M6 B1 M2 O4.1 A11.2+ A12+ A13.3 A6.2+ W3 O4.4 O3 K2 A5.3+ H1/H4 M3 B5% O4.4% N5- A6.1+ 
أَبْطَحِيّ	Z99
أَبْطَح	 O4.4 O3 O4.1 K2 A5.3+ H1/H4 M3 W3 B5% O4.4% N5- A6.1+ A4.2+ N3.7 N5 S5+ A5.1 X9.1 A4.1 S7.1 A6.1- Q2.2 M2 A11.2+ A12+ A13.3 A6.2+ 
ٱِنْبَطَح	Z99
ٱِنْبِطاح	Z99
بَطِر-َ	 X5.1- S7.2- 
بَطِر	 S1.2.3+ S7.2- S1.2.4- 
أَباطِرَة	 S7.1+/S2mf 
بَطَر	 S1.2.3+ 
أَبْطَر	Z99
تَبَطَّح	Z99
بَطَح-َ	 H2 S5+ X9.2- E3- 
بَطُوطِيّ	Z99
بَطَّأ	 T4- 
بَطُوطَة	Z99
مِبَطَّة	 B3 
مِبَطّ	 B3 
تَبَطَّأ	Z99
ٱِسْتَبْطَأ	Z99
بَطْبَطَة	Z99
بَطْبَط	 L2/Q2.1 B3/S2 
مُتَباطِئ	 T4- 
تَبْطِئَة	 T4- 
تَبْصِرَة	 X2.3+ T1.3/T1.1.1 Q2.2 P1 
بُصِيرِيّ	Z99
بَشايِر	Z99
تَباشِير	Z99
بَشِيرَة	Z99
بَشِر-َ	 E4.1+ 
بَشَر-ِ	 E4.1+ 
مُسْتَبْشِر	 E4.1+ E4.2+ 
بَشَرُوش	 L2mf 
بَشِيع	 O4.2- 
ٱِسْتَبْشَع	Z99
بَشَّع	 A1.1.2 
بَشِع-َ	Z99
بَشْتُون	Z99
بِشْتَة	 B5 
بَسْمَلَة	Z99
بُسَيْنَة	 I1.1 L2mfn 
بَسْمَل	 S7.1+ Q2.1 Z4% 
مَبْسِم	Z99
بَسِيمَة	Z99
بسِيكُولُوجِيا	 Y1/X1 
بسِيكُولُوجِيّ	 X1 
بُشْت	 B5 
بَشاشَة	 E4.1+ 
بَشُوش	 E4.1+ 
بَسْيُونِي	Z99
تَبْشِيع	 A5.2- M1 T2++ M6 A3+ 
بَشّاك	 A5.2-/S2mf 
بَصَّة	Z99
بَصّاص	 A5.1+ W2 O4.2+ E4.1+ X9.1+ B4 W4/A5.1+ G3/S2mf X2.4 G2.1/S2mf 
بَصّ-ِ	 O4.3 X5.2+ 
بَشْنِين	 L3 
بَشْنُوقَة	Z99
بَصْبَص	 E4.1+/S2mf M1 M2 X3.4 
بَصْبَصَة	 X3.5 X3.4 
بَصارَة	 X3 X2.5+ 
ٱِسْتَبْصَر	 A10+ Y1/M2 X3.4 X2.1 A5.1 
بَصِر-َ	 X3 X2.5+ X9.2+ S9/M7 X3.4 X2.1 S1.1.1 X2.3+ A7+ Z4 S3.2 
بَصَخَة	 S9/T1.3 
بَشَنْس	Z99
بَشْنَة	Z99
بَشْكِير	Z99
بَشِم-َ	Z99
بَشْكُور	Z99
باشِك	Z99
ٱِبْتِشاك	 G2.2- 
أَبْشَم	 O4.2- 
بَشَم	 B2- 
بَشْمَق	 B5 
بَشامِرِيّ	Z99
بَشْمار	Z99
بِشِلَّة	Z99
بُلَيْحاء	Z99
بَلُد-ُ	Z99
بُورُوسِيا	Z99
بُورِي	 K2 
بُورُونْدِيّ	 Z2 
بُورُونْدِي	 Z2 
بُورْنُوغرافِيَّة	 Q4/S3.2 
بُورُوجِيّ	 K2/S2mf 
بُورِيس	Z99
بَأْز	 L2mfn 
مُبَوِّز	 E3- 
تَبْوِيزَة	Z99
بَوَّز	Z99
بُورْنُوغرافِيّ	 S3.2/Q4/S2mf S3.2/Q4 
بُورْمِيّ	 Z2 Z2/Q3 Z2/S2mfnc Z2/S2mf 
بُورْجُوازِيَّة	 S5/I1.1 G1.2 
بُورْدِر	 Z3c 
بُورْج	Z99
بُورْتُورِيكِيّ	Z99
بُورْتلانْد	 Z2 
بُورْدُو	 Z2 F2 
بُورز	Z99
بَوْرَق	 O1.1 B4 
بُورْغاس	Z99
بُورْسُودانِيّ	 Z5 
بُورْسَعِيدِيّ	 Z5 
بُوزُوبَع	Z99
بَوْسَة	 S3.2 
بُوشِهر	Z99
بُوشِيّ	Z99
بُوشْكِين	Z99
بُوشكاش	Z99
بُوشَعِيب	Z99
بُوص	 L3 O2 B5 S5+ 
بُوطَة	 O2 
بُوعَزِيزِي	Z99
بُوعَزِيز	Z99
بُوع	Z99
بُوظَة	 O1.1 F1 O4.6- F2 
بُوشْرِيّ	Z99
بُوشِرْباك	Z99
بُوسْطَجِيّ	Z99
بُوسَعِيدِيّ	Z99
بُوسْطَة	 Q1.2 
بُوسْت	Z99
بُوسان	Z99
بُوسْفُور	 Z2 
بُوسُوفالِيُوك	Z99
بُوشِر	Z99
بَوْش	 S5+c S1.1.1 S5+/O4.2-c Q2.1 
بَوَّش	Z99
باش-ُ	Z99
بُورتْسُودان	Z99
بُورْتاس	Z99
بُواط	 O2 F2% A7+ A1.1.1 O4.4 Q4.3 G2.1 H2 K5.1 B5/K5.1@ A4.1@ E3- 
بَوَّب	 A4.1 A6.1- A9-/N5.1 N2 
بُوافِيسْتا	Z99
مُتَبَوِّئ	 A9+ I1.1+ M7/F4 S1.1.1 H4 A1.5.1 G3 X5.1+ A1.1.1 T1.3 
تَبَوُّء	 T2+/S7.1+ A1.8+ 
مُبَوَّب	 A10- A4.1 Q4.2 S7.1+ O4.1 A1.1.1 
بُوب	 K2 X3.2 F2 S4m Z4 M1 
بُوتِر	Z99
بُوتاسا	Z99
بُوتاجاز	 O1.3 
بُوبِينَة	 O2 M2 K2% M1/E3- E4.1- 
مَباءَة	 H1 H4 
أَباء	 H4 S8+ A1.2+ 
بَهْمَة	 L2mfnc 
بَهِيم	 M5fn O2 N5 O1.1 M5 
ٱِسْتَبْهَم	Z99
تَبَهَّم	Z99
أَبْهَم	Z99
بَهِيمِيّ	 L2 L2mfn S5+c O2c E3- G2.2- 
إِبْهام	 A10- A12- 
مُتَباهِي	 E4.2+/S1.2 S1.2.3+ 
مُباهاة	 E4.2+/S1.2 S7.2+ S1.2.3+ O4.2+ E4.2+ 
بَهائِيّ	Z99
باهِم	 B1 B5 M3 
بُوترا	 Z3 
بُوتْزِي	Z99
بُودِيرُوغا	Z99
بُوذا	 Z1m S9 
بُودَقَة	 O2 
بُودْغُورِيتشا	Z99
بُودابِسْتِيّ	 Z5 
بَوَّر	Z99
أَبار	 A1.1.2 
بُورانِيّ	Z99
بُورا	Z99
بائِر	 F4 X9.2- S1.2.4- F4- 
بَوار	 X9.2- A1.1.2 I1.1--- H1/A1.1.2 
بُودابِسْت	 Z2 
بُوخُوم	Z99
بُوتِيِه	Z99
بُوجِيه	Z99
بُوتِيك	 I2.2/B5/H1 
بُوتِي	Z99
بُوتَفلِيقَة	Z99
بُوحَلِيقَة	Z99
بَوَّخ	 A6.1- A1.1.2 S1.2.2+ I1.1--- H1/A1.1.2 
بُوخارِسْتِيّ	 Z5 
بُوخارِسْت	 Z2 
بائِخ	 A1.1.2 S1.2.2+ X3.1 
بُواخ	 A2.1+/I1.3 O1.3 M1 F1 A1.1.1 
بُوعَلاي	Z99
بُوعَيْنَيْن	Z99
بِيرَة	Z99
بِيرامِيدز	Z99
بَيّارَة	 F4/M7 L3/M7 
بَيْدَق	 K5.1 A1.5.1/A5.1-/S2mf I1.2 
بَيْدَر	Z99
بِيرْتِي	Z99
بِيرد	Z99
بِيرْسِي	 Z1mf 
بِيرْسُون	 Z1mf 
بِيرْسُول	Z99
بيرس	 Z1mf 
بِيداغُوجِيّ	 P1 
بِيدار	Z99
بِيتُوراتانا	Z99
بِيتِيس	Z99
بَيْتُور	Z99
بِيتِلز	 Z3 
بِيتشْنِيك	Z99
بِيجاما	Z99
بِيجان	Z99
بِيداوَة	 W3 S5- 
بَيْداء	 W3 S5- M1 
بَيْجِينغ	 Z2 Z3c 
بِيجُو	 Z3c 
بَيْرَقْدار	 Q1.1 O2/H1 N5-/A2.1 B2-/A2.1 H1 
بِيرنْز	Z99
بِيسُون	 L2 
بِيشْكِيك	Z99
بِيسُو	 I1 
بَيْسَرِيّ	Z99
بَيْسَة	Z99
بِيشْمَرْك	Z99
بِيشِيّ	Z99
بَيْضِيّ	 O4.4 
ٱِبْيَضّ	Z99
تَبَيَّض	Z99
باض-ِ	Z99
بِيزِيتا	Z99
بِيرِيرا	Z99
بِيرُوفِيّ	 Z2 Z2/S2mf 
بِيروانِيّ	 Z2 Z2/S2mf 
بِيرُو	 Z2 
بِيرْهُوف	Z99
بِيرِنِيه	 Z2 
بِيرُوزِي	Z99
بيرُوجِيا	Z99
بِيرِيخِيل	Z99
بِيرِي	 Z1mf 
بِيرُون	Z99
بِيرُوقراطِيَّة	 G1.1 S8- 
بِيتش	Z99
بِيتْسِيلِيم	 Z5 O4.2-/S2mf% 
مِبْوَلَة	 O2/B3 O2/B4 
بُولاد	 O1.1 O2 S1.2.5+ O4.3 
مَبْوَلَة	 H5/B4 
بَوّالَة	Z99
بِيلَة	 B1 
بُولْتُون	 Z2 Z1mf 
بُولْز	Z99
بُولِيسارِيُو	Z99
بُولِيسَة	 X7+ Q1.2 I1/A15- 
بُولاق	Z99
بُولْفار	 M3/H3 
ٱِسْتَبال	Z99
تَبَوَّل	 B1 
بُوفارِي	Z99
بَوَّق	 K2 X3.2 X3.2++ 
بُوغاز	 W3/M4 A12-/I1.1- 
بُوغادَة	Z99
بَوَّغ	 X2.6- 
بَوّاق	Z99
بائِقَة	 A1.4- A5.1- 
أَبال	Z99
بَوَّل	 B1 
بُوكْس	 K5.1 A1.1.1 O4.4 
بُوقال	 O2 B1 S1.2.6-/S2mf E3- 
بُولِيفِيا	 Z2 Z3c 
بُولِيفِيّ	 Z2 Z2/S2mf 
بائِت	 T3+ O4.2- X5.2- 
بُوَيْت	Z99
مَبِيت	 H4 M8 T2++ M2 Q2.2 
بَيّات	 P1/S2mf H4/S2mf G3/S2mf 
بِيادِيّ	Z99
بِيتا	 Q3 
بِيتار	Z99
بِيتْرِيتش	Z99
بِيتِرسْبُرغ	 Z2 
بِيتْزا	 F1 
بَيْتاوِيّ	Z99
بِيادَة	 G3c 
بِياتشنْتِينِي	Z99
بُونْتا	Z99
بُونْدِسْلِيغ	Z99
بُومُنْصِف	Z99
بُومِرْداس	Z99
بُولِينغ	 K5.1 M2 
بُونْدِسْلِيغَه	Z99
بُونِي	Z99
بُوِينُس	Z99
بُويس	Z99
بُويز	Z99
بُونْيا	Z99
بُهْلُول	 E4.1+/S2mf K1/S2mf S1.2.6-/S2mf E4.1+ 
بَهْلُول	Z99
تَبالَه	Z99
ٱِسْتَبْلَه	Z99
بَلِه-َ	Z99
بَلَنْسِيَة	 Z2 
بُلَنْد	Z99
أَبْلَه	 X3.2- X9.1- S1.2.6- 
بُلْهُون	Z99
بَلِي-َ	 A5.1-/A2.1 
بَلْوَى	 E6- B2- S6+ A11.1+ 
بَلْهَوان	 K1/S2mf 
بُلَهْنِيَة	 I1.1+ N5+ 
بُلَنْت	Z99
بَلَمَنْد	Z99
بَلْكُون	 H2 
بِلْلِيترُو	Z99
بلَك	Z99
بَلْقَع	 W3/L3 M7/O4.2- 
بَلْقانِيّ	 Z2 Z2/S2mfnc 
أَبْلَم	Z99
بَلَم	 F1 L2 
بَلْمَرَة	Z99
تَبَلْمَر	Z99
بَلْمَر	Z99
أَبْلام	Z99
بَلِيّ	 O4.2- O4.1 B5 A1.1.1 
مُبالِي	 E6- A1.8+ A2.2 S1.1.3+ E2+ S8+ S1.2.2- B3 
بِلِيزِيّ	 Z2/S2mf 
بلِيز	 Z4 E4.2+ E2+ X7+ 
بِلِيز	 Z2 
بُلُك	 I2.1/S5+c S5+c G3/S5+c S3.1 K4/S5+c 
بُلُوك	 O2 H1 N5+ S8- B3 A10- K4% 
بلِيزِر	 B5 
بلِيزِرْز	Z99
بِمْباشِيّ	Z99
بِلْيُونِير	 I1.1/S2mf 
بَلِيَنا	Z99
بلِيكس	Z99
بُلُوفِر	 B5 
مُتَبَلْوِر	Z99
بلُوتُوقراطِيّ	Z99
بلُوتُوقراطِيَّة	Z99
بلُوتُو	 Z1/W1 S9/T1.1.1@ Z1/Q4.3 
مُبْتَلَى	 B2- E4.1- E6- X3 A5.1-/A2.1 S7.4+ 
مُبْتَلِي	 P1 B3 X2.4 A12- 
بلُوتُونِيّ	 O1.1 
بلُوتُونِيُوم	 O1.1 
مُبَلْوَر	 O4.1 A7+ F1 
بِلَّوْرِيّ	Z99
بِلَّور	 O1.1 O2 
بلُوجِينْز	Z99
بِلْقَزِيز	Z99
أَبْلَق	Z99
بَلَص-ُ	 A9+/G2.2- G2.1- 
بَلَّص	 A9+/G2.2- G2.1- 
بَلَشُون	 L2mfn 
بَلْشَفِيَّة	 G1.2/X2.1 
بَلْشَفَة	Z99
بَلْص	 G2.1- 
بَلّاص	 O2 E5- E2- A1.1.1 M2 
بَلُّوط	 O1.1 L3 
مُبَلَّط	 H5 H1 A1.1.1 
تَبْلِيط	 O2 H1 
بَلَّط	 H1 A1.1.1 O2 
تَبَلْشَف	Z99
بَلْشَف	Z99
أَبْلَد	 S1.2.6- X9.1- 
تَبَلُّد	 S1.2.6- X5.2- 
تَبالَد	Z99
تَبَلَّد	Z99
بَلَّد	 A6.2+/A2.1 
مُتَبَلِّد	 S1.2.6- X9.1- X5.2- 
بُلَيْدِيّ	Z99
بَلْسَمِيّ	Z99
بَلْسَم	 B3/O1.1 B4/O1.1 
بَلَرِينا	 K4/S2.1f 
بَلْدُوزَر	 M3/A1.1.2 M3/A1.1.1 
بَلُّوطَة	 L3 O1.1 
بَلْطَة	 O2 T2- 
بَلْغراد	 Z2 
بَلْغرادِيّ	 Z2 
بُلْغارِيّ	 Z2 Z2/Q3 Z2/S2mf 
بُلْغار	 Z2/S2mf 
تَبَلَّغ	Z99
بَلْغَمِيّ	Z99
بَلَف-ِ	 A10+/S1.2 O4.4 A5.2-/Q2.2 W3 
بَلْفُورِيّ	 Z1mf 
بَلْفاست	 Z2 
بَلْف	 A10+/S1.2 O4.4 A5.2-/Q2.2 W3 
بَلَّف	 A10+/S1.2 O4.4 A5.2-/Q2.2 W3 
بُلْعُم	Z99
بَلْعَم	Z99
بالُوظَة	 O4.3 F1 B3 O1.2 A5.1+++ A9+ S7.1+ 
بَلَع-َ	 B1 L2mfn X2.1/A7+ A10-/E1 A1.1.1 T1.3+ X2.3+ X5.2+ 
بَلْطِيق	 Z2 Z2/S2mfnc 
بَلْطَجِيّ	 G2.1-/S2mf G2.1-/S2.2m 
بَلْطَج	Z99
بَلَّع	Z99
أَبْلَع	Z99
بالُوع	 B4/H2 M2/N5.1- M1 O4.5 A10- B2- 
بَلّاعَة	 B4/H2 M2/N5.1- M1 O4.5 A10- B2- B4/H5 M2 M4 N5-/A2.1 X3.2-/A2.1 A2.1+ E4.1- A1.1.1 F2 K5.1@ 
بَلْعَة	 B1 
ٱِنْبَلَع	Z99
بُمْباغ	Z99
بَمْبَه	Z99
بَهْجَت	Z99
بَهْدَل	 Q2.2/S1.2.4- S7.2- 
مُبْهِج	 O4.2+ S9% 
بَهِيجَة	Z99
بَهِيج	 A5.1+ E4.1+ E4.2+ 
تَبَهْدَل	Z99
بَهْدَلَة	 Q2.2/S1.2.4- S7.2- E3- 
بَهْرَة	Z99
بُهْر	Z99
ٱِبْتَهَر	 A10+ S1.2.3+ 
مُبَهْدَل	 E3- 
أَبْهَج	Z99
بَهَّج	 O4.1 Q2.2 
ٱِنْبَهَت	Z99
بُهْت	 Q2.2/A5.2- Q2.2/A1.1.2 G2.1- 
باهَت	 E5- X2.6- 
بَهُت-ُ	Z99
بَهِت-َ	Z99
بَهْتَة	 X2.6- 
مَبْهُوت	 X2.6- E5- 
بَهُج-ُ	Z99
بَهِج-َ	 E4.1+ 
بَهْتَرَة	 M1 M6 A5.2- 
بَهْتَر	 A5.2- M1 T2++ M6 A3+ 
بُهْرَة	 M6 H1c M7c G1.2c K5.1mfn N4 N5 T1.2 
أَبْهَرِيّ	 B1 
تَبَهَّل	 S1.2.4-/Q2.2 S9 Q2.2 A1.4- 
تَباهَل	Z99
بَهَل-َ	 S1.2.4-/Q2.2 S9 Q2.2 A1.4- 
أَبْهَق	Z99
بَهَق	 B2- 
ٱِبْتَهَل	Z99
أَبْهَل	Z99
بَهْلَوِيّ	Z99
باهِل	 S6- A1.7- A1.5.1- I1.3- S5- 
مُباهَلَة	 Q2.2 A1.4- 
بَهْلاء	Z99
أَبْهَظ	 E3- G2.2- N5.2+ 
بَهَظ	 E3- G2.2- 
بَهْرَجَة	Z99
بَهْرَجان	 O2 
تَبَهْرَج	 A10- 
بَهْرَج	 A10- A5.4- I1.3- O4.2- A5.2- G2.2- 
ٱِبْتِهار	 A10+ Y2 A8 K4 S1.1.1 I2.2/S1.1.1 
مُبَهْرَج	 O4.3 O4.2- 
بِهْرُوز	Z99
بَهِشْلِي	Z99
بَهِشْتِي	Z99
بَهَز-َ	 M2 X8+ S7.1+ I3.1- M1 I2.2 F3 X7- 
بَهْرِيز	 F1 
بَهْبَهانِي	Z99
بَهاما	 Z2 
بَنْدُول	 O2 
بَنْدِيرَة	 O2 
بُنْدُوق	 S4/S2mf A5.1-/S2.2m A12- 
بُنْدُقانِيّ	 Z2 Z2/S2mf 
بَنْدَرِيّ	Z99
بِنْزُول	 O1.2 
بِنْسِلْفانِيّ	Z99
بُنْط	 Q2.1 X4.1 A5.1 A1.5.2 M7 T1.2 O4.4 O3 K5 A10+ M6 H1 
بِنْصِر	Z99
بَنْسِيُون	 I1.1/T3+ H4/H1c 
بِنِسِلِين	 B3 
بَنْدا	 L2mfn M3/G2.1fn 
بَنَّد	 K2c A4.1 S5+c O2 S5+ 
بَنارِس	Z99
بِنالْتِي	 G2.1 I1.3 K5.1 
بَنَوِيّ	 S4 
بُنُوَّة	Z99
بَمْبِيّ	Z99
بِنْباشِيّ	Z99
بَنَّج	 B3 
بَنْجالِيّ	 Z2 Z2/Q3 Z2/S2mf 
بَنْجال	 Z2 
بَنْجابِيّ	Z99
بَنْج	Z99
بُنْطَة	Z99
بَنْطَلُون	 B5 
بَنكرِياسِيّ	 B1 
بَنَما	 Z2 B5 
بَنكْنُوت	Z99
مُبَنَّك	 S5- X9.1+ 
بِنَقَة	 B1 O2 
بَنَماوِيّ	 Z2/S2mf 
بَنْها	Z99
بَنْيُو	 H5/B4 
بِنائِيّ	 O4.1 S7.1 H1 
ٱِبْتَنَى	 B1/O4.4 H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1 X4.1 
بَنْوار	Z99
بِنفِيكا	Z99
بَنْفَش	 O1.1 
بِنْعَبْداللّٰه	Z99
بِنْعَبْدَلاوِيّ	Z99
بِنْعَبدِالْعَزِيز	Z99
بِنْعَبدِالْعالِيّ	Z99
بِنْعَبْد	Z99
بِنْعَلِيّ	Z99
بَنْغال	 Z2 
بَنَفْسَج	 O4.3 L3 
بَنْغالُورِيّ	Z99
بَنْغالُور	Z99
بَنْغالِيّ	 Z2 Z2/Q3 Z2/S2mf 
ٱِرْتَزَق	Z99
ٱِسْتَرْزَق	Z99
مَطْوَى	 B5 Z5 M6 S1.1.3+ G2.1@ 
مِطْواة	Z99
طَوِيَّة	 X7+ O4.1% X2.1 X4.1 G2.1 H2 M6 
طُونِي	 Z1mf 
طُونَة	Z99
ٱِنْطِوائِيّ	 M2 M1 S1.1.3- A2.1+ S1.2.1- 
طاوِي	 F1- A9- O4.6-@ 
طايَب	 Q2.2 
أَطاب	Z99
طاب-ِ	Z99
مُنْطَوَى	 E4.2+ Q2.1 A1.8+ N5 E4.1+% 
مَطْوِيّ	 A1.8+ A1.7+ 
طُومِي	 Z1m 
طُومْسُون	 Z1mf Z3c 
ٱِسْتَطال	Z99
طُولانِيّ	 N3.7 
مُطَوِّق	Z99
مُطاق	 A5.1+ S7.4+ 
مُطَوَّق	Z99
طُوالَة	 A2.1- S1.2 O4.1 L2/H1 L2/H4 
تَطْوِيل	 N3.7+/A2.1 T1.3+/A2.1 
طُوم	 Z1m 
مُتَطاوِل	 T1.3++ S7.2- S1.2.4- 
طايِل	Z99
ٱِسْتِطالَة	 S1.2.3+ 
تَطَيَّب	Z99
ٱِسْتَطاب	 E2+ X2.5+ S1.1.1 I1.1++ 
مُسْتَطِير	 T1.1.3 M1 N3.6+/A2.1 
ٱِسْتِطارَة	Z99
مُتَطَيِّر	 X2.6/A5.1- S9 
طَيَرانِيّ	 M5 
طِيرَة	Z99
ٱِسْتِطْيار	Z99
مُطَيْر	Z99
أَطْيَش	 A1.3- 
طِياشَة	Z99
طَيَشان	Z99
طَيْش	Z99
طَيْرَة	 E3- 
ٱِسْتَطار	 M1 N3.6+/A2.1 E3- 
مَطايِب	 S8+ H1/K1 H5/K1 
مُطايَبَة	 Q2.2 E4.1+ 
طَيّاب	Z99
طِيبِيّ	 X3.5 A5.1+ 
ٱِسْتَطْيَب	 E2+ X2.5+ S1.1.1 I1.1++ 
طائِبَة	Z99
مُطَيَّب	 L3 X3.1 
تَطْيِيح	Z99
طَيْح	 X9.2- A9- M6/A5.3- L1- 
طاح-ِ	Z99
مُسْتَطاب	 E2+ X2.5+ I1.3+/A2.1 
إِطاقَة	 X9.1+ 
طَوْقِيّ	 B5 A9+ G2.1@ 
طائِحَة	 A1.1.2 A1.4 A12- S9 A7+++/S7.1- A3+/S7.1- 
مُطَوِّحَة	 X8+ X5.2+ A15- 
طائِح	 X9.2- A9- M6/A5.3- L1- A1.7- M1 G2.2- A2.1+ N3.2+ A4.2- G2.2-@ B2-@ 
تَطَوَّح	 M1 N5-/A2.1 S7.1- L1- A1.8+ G2.2- X9.2- W3/M4 S9 K5 T1.3 K5.2 
طاح-ُ	Z99
ٱِنْطاد	 N5+/A2.1 N3.2+/A2.1 S7.1+/A2.1 O4.4 M1 N3.7+/A2.1 N3.3+ X3.2+ 
طَوْد	 W3 
تَطَوُّرِيّ	 A2.1+ 
طَوار	 M3/H3 
مُنْطادِيّ	 K5.1/S2mf 
مُنْطاد	 G3 
طُوبْجِيَّة	 G3 G3/S5c 
طُوبْجِيّ	 G3/S2.2m 
تَطْوِيب	 S9 
طُوبَة	Z99
طَوَّب	 S9 
طَوّايَة	Z99
مَطْهُوّ	 F1 
طَوّاب	 O2/H1 S8+ H1 E3-@ 
طُوبَى	 E4.1+ S9/Q1.2 
طُوباسِيّ	 Z5 
طُوباوِيَّة	Z99
طُوباوِيّ	 Z4 E4.2+ S9 
طُوبائِيّ	 X7+/A1.6 X7+/S2mf 
مِنْطار	Z99
طُورْبِين	 O2 
تَطَوَّف	 M1 X5.1- 
طَوْف	 O3 S1.1.1 M7 K5.1 G2.1 M4 M4fn A6.3+ 
أَطاف	 M6 A1.8+ A10- K5.1 G3 M1 
مُطاوِع	 S7.1- A6.1+ 
طايِع	Z99
طَوْفَة	 X2.4/S5+c M1/X2.4 Z5 O4.4 M6 N5 K5.1 M1 F2 B3 F1 K2% G3% 
طُوفانِيّ	 N5+ 
تَطَوَّق	Z99
طاق-ُ	Z99
تَطْواف	 JJ@ M1 M4 G3% 
طافَة	 M1 
طائِع	 A6.1+ S7.1- 
مُطاوَعَة	 A6.1+ S7.1- 
مُطَوَّس	 O4.2+ C1/H1 S1.1.4+ 
طُوسُون	Z99
طَوَّس	 O4.1 H5 O4.2+ C1/H1 S1.1.4+ 
طُورُوس	 S9 S9/S2mf 
طُورْبِينِيّ	 O2 
طَوَّش	 B2-/S3.2- 
طَواشِيّ	Z99
طَوْع	 X7+/S6- I3.1/I1.1- 
ٱِنْطاع	 S7.1- 
طاوَع	 S7.1- 
مُطَوَّش	 B2-/S3.2- 
طَيَّف	Z99
طَيْفِيّ	 A5.4- S9mfn 
ظِهارَة	 Z5 M6 S5- S1.1.3- B1 
تَظْهِير	 S8+/Q2.2 Q1.2 M6/A2.1+ A9- I3.1/A2.1+ Y2 M3 M4 M5 C1 
ٱِسْتَظْهَر	 X2.2+ A10+ G1.2 
ظاهَر	 S8+ O2 I1.1 B5% A1.1.1 K5.1 A10+ 
